"ID","Player","Team","Position","Rk","Status","Age","Opponent","Salary","Contract","FPts","Bye","Ros%","+/-"
"*03wra*","Derrick Henry","TEN","RB","1","VA","27","IND Sun 1:00PM","76","TAGGED","46.2","13","100%","0%"
"*04yna*","Kyler Murray","ARI","QB","2","FLU","24","@JAX Sun 1:00PM","36","1YR","44.7","12","100%","0%"
"*20010#1090*","Buffalo","null","DST","3","LIC","","WAS Sun 1:00PM","2","AUCT","43.23","7","98%","+4.2%"
"*04mog*","Lamar Jackson","BAL","QB","4","NE","24","@DET Sun 1:00PM","63","1YR","40.25","8","100%","0%"
"*04cfu*","Aaron Jones","GB","RB","5","LIC","26","@SF Sun 8:20PM","11","1YR","39.5","13","100%","0%"
"*002ct*","Tom Brady","TB","QB","6","FLU","44","@LAR Sun 4:25PM","50","AUCT","37.05","9","100%","+0.1%"
"*04ynb*","Daniel Jones","NYG","QB","7","MARS","24","ATL Sun 1:00PM","13","WAVR","36.95","10","77%","+19.5%"
"*001w1*","Aaron Rodgers","GB","QB","8","LIC","37","@SF Sun 8:20PM","57","1YR","35.2","13","99%","0%"
"*04ca6*","Patrick Mahomes","KC","QB","9","CR","26","LAC Sun 1:00PM","28","2YR","33.5","12","100%","0%"
"*03cds*","Derek Carr","LV","QB","10","OAK","30","MIA Sun 4:05PM","6","AUCT","32.95","8","86%","+13.2%"
"*04ccp*","Cooper Kupp","LAR","WR","11","HAR","28","TB Sun 4:25PM","15","1YR","32.05","11","100%","+0.1%"
"*20260#1090*","Carolina","null","DST","12","MARS","","CAR 24<br/>@HOU 9 F","13","WAVR","31.95","13","77%","+35.8%"
"*02j9x*","Russell Wilson","SEA","QB","13","LIC","32","@MIN Sun 4:25PM","52","AUCT","31.25","9","100%","0%"
"*02jak*","Kirk Cousins","MIN","QB","14","HAR","33","SEA Sun 4:25PM","7","AUCT","31.2","7","88%","+4.9%"
"*03cdg*","Teddy Bridgewater","DEN","QB","15","CR","28","NYJ Sun 4:05PM","1","AUCT","30.6","11","63%","+9.7%"
"*20210#1090*","Chicago","null","DST","16","YON","","@CLE Sun 1:00PM","1","WAVR","30.6","10","45%","+11%"
"*03ox7*","Taylor Heinicke","WAS","QB","17","YON","28","@BUF Sun 1:00PM","7","WAVR","30.45","9","33%","+9.9%"
"*03oiv*","Tyler Lockett","SEA","WR","18","OAK","28","@MIN Sun 4:25PM","28","AUCT","26.8","9","100%","0%"
"*00595*","Matt Ryan","ATL","QB","19","CR","36","@NYG Sun 1:00PM","10","AUCT","26.8","6","82%","-1.9%"
"*04mn9*","Sam Darnold","CAR","QB","20","CR","24","CAR 24<br/>@HOU 9 F","7","AUCT","26.25","13","66%","+6.3%"
"*03ceh*","Jimmy Garoppolo","SF","QB","21","NE","29","GB Sun 8:20PM","1","WAVR","26.1","6","42%","+2.3%"
"*03wr8*","Jared Goff","DET","QB","22","VA","26","BAL Sun 1:00PM","1","AUCT","25.5","9","57%","+2.5%"
"*20030#1090*","New England","null","DST","23","HAR","","NO Sun 1:00PM","2","AUCT","25.18","14","90%","+1.9%"
"*05gtw*","Justin Herbert","LAC","QB","24","VA","23","@KC Sun 1:00PM","10","1YR","25.15","7","100%","-0.2%"
"*05gv4*","Jalen Hurts","PHI","QB","25","MARS","23","@DAL Mon 8:15PM","13","1YR","24.9","14","99%","0%"
"*04mo7*","Baker Mayfield","CLE","QB","26","GK","26","CHI Sun 1:00PM","9","1YR","24.4","13","87%","-2.7%"
"*20280#1090*","Tampa Bay","null","DST","27","VA","","@LAR Sun 4:25PM","3","AUCT","24.33","9","98%","-0.6%"
"*04zfm*","Tony Pollard","DAL","RB","28","VA","24","PHI Mon 8:15PM","5","AUCT","24.17","7","95%","+7.6%"
"*02j82*","Ryan Tannehill","TEN","QB","29","YON","33","IND Sun 1:00PM","18","1YR","23.65","13","96%","-1%"
"*01cdj*","Matthew Stafford","LAR","QB","30","HAR","33","TB Sun 4:25PM","29","1YR","23.5","11","99%","0%"
"*040dq*","Carson Wentz","IND","QB","31","MARS","28","@TEN Sun 1:00PM","1","AUCT","23.4","14","53%","-2.6%"
"*048xf*","Christian McCaffrey","CAR","RB","32","MARS","25","CAR 24<br/>@HOU 9 F","100","AUCT","23.2","13","100%","0%"
"*03ccu*","Mike Evans","TB","WR","33","NE","28","@LAR Sun 4:25PM","30","AUCT","22","9","100%","+0.1%"
"*04yp1*","Terry McLaurin","WAS","WR","34","FLU","25","@BUF Sun 1:00PM","17","3YR","21.2","9","100%","+0.1%"
"*04mnz*","Josh Allen","BUF","QB","35","OAK","25","WAS Sun 1:00PM","35","1YR","20.75","7","100%","0%"
"*026xs*","Tyrod Taylor","HOU","QB","36","FA","32","CAR 24<br/>@HOU 9 F","1","WAVR","20.75","10","34%","-2.1%"
"*02zsi*","Cordarrelle Patterson","ATL","RB,WR","37","CR","30","@NYG Sun 1:00PM","12","WAVR","20.69","6","77%","+33.8%"
"*002r2*","Ben Roethlisberger","PIT","QB","38","GK","39","CIN Sun 1:00PM","1","WAVR","20.55","7","70%","-5%"
"*05rmo*","Rondale Moore","ARI","WR","39","MARS","21","@JAX Sun 1:00PM","2","ROOK","20.27","12","92%","+15.2%"
"*02ztg*","Travis Kelce","KC","TE","40","HAR","31","LAC Sun 1:00PM","57","AUCT","20.15","12","100%","0%"
"*04yno*","Marquise Brown","BAL","WR","41","LIC","24","@DET Sun 1:00PM","3","AUCT","20.05","8","97%","+3.7%"
"*05gu1*","Henry Ruggs","LV","WR","42","GK","22","MIA Sun 4:05PM","1","AUCT","19.94","8","91%","+7.5%"
"*20060#1090*","Cincinnati","null","DST","43","FA","","@PIT Sun 1:00PM","1","WAVR","19.56","10","8%","+1.7%"
"*01hrc*","Graham Gano","NYG","K","44","HAR","34","ATL Sun 1:00PM","1","WAVR","19.5","10","37%","+17.9%"
"*04moc*","Courtland Sutton","DEN","WR","45","FLU","25","NYJ Sun 4:05PM","8","AUCT","19.4","11","98%","+2.1%"
"*20130#1090*","Denver","null","DST","46","GK","","NYJ Sun 4:05PM","4","AUCT","18.94","11","87%","+4.4%"
"*05jef*","Freddie Swain","SEA","WR","47","FA","23","@MIN Sun 4:25PM","1","WAVR","18","9","15%","+11.5%"
"*048vm*","Mike Williams","LAC","WR","48","MARS","26","@KC Sun 1:00PM","13","1YR","17.85","7","97%","+1%"
"*03wr9*","Ezekiel Elliott","DAL","RB","49","YON","26","PHI Mon 8:15PM","63","AUCT","17.7","7","100%","0%"
"*048vl*","Dalvin Cook","MIN","RB","50","CR","26","SEA Sun 4:25PM","76","TAGGED","17.55","7","100%","0%"
